# qed_alerts.tsv -- the structural alerts QED counts as its eighth input.
# Bickerton, Paolini, Besnard, Muresan, Hopkins, Nat. Chem. 2012, 4, 90.  The alert set QED weighs is
# Brenk, Schipani, James, Krasowski, Gilbert, Frearson, Wyatt, ChemMedChem 2008, 3, 435, which names
# 116 alerts.
#
# WHAT THIS TABLE IS, AND WHAT IT IS NOT.  it holds the alerts chython STATES: 63 substructures, each
# written in chython SMARTS and each proved to fire by its own probe.  it is NOT the 116-row list, and
# `chython.chemistry.qed`'s ALERTS term is therefore THIS table's count.  a score from chython and a
# score from another implementation of QED are two numbers with the same name; neither is a reading of
# the other.  the count is ratcheted by an equality in test_qed_alerts_tsv.py, so adding a row is a
# two-file change and dropping one cannot pass unnoticed.
# `name` and `description` are chython's labels for the alerted substructure.  a published alert name
# is quoted only where the substructure is exactly what that name says.
#
# `probe` IS A SMILES AND A PUBLIC COMPOUND, never a SMARTS: the bracket-and-bond rules of the pattern
# column do not apply to it.  a test asserts every row matches its own probe, because an alert that
# matches nothing lowers no score and would go unnoticed for years.
#
# THE DIALECT, IN THREE RULES.  every bracket atom frees the charge (`*`) or states one -- an unstated
# charge is charge ZERO.  every bond is written out, since an absent token matches SINGLE only and
# `[C;*;z4][C;*;z4]` therefore matches no aromatic ring.  a ring or non-ring bond is `~;@` / `~;!@`.
id	name	pattern	probe	description
34	sulfonic acid	[S;*](=[O;*])(=[O;*])-[O;*;H1]	CS(=O)(=O)O	sulfonic acid
35	sulfate ester	[O;*]-[S;*](=[O;*])(=[O;*])-[O;*]	COS(=O)(=O)OC	sulfate ester
36	phosphorus	[P;*]	COP(=O)(OC)OC	any phosphorus
37	phosphate ester	[O;*]-[P;*](=[O;*])(-[O;*])-[O;*]	COP(=O)(OC)OC	phosphate ester
38	triple bond	[C;*]#[C;*]	CC#CC	carbon-carbon triple bond
39	conjugated nitrile	[C;*]=[C;*]-[C;*]#[N;*]	C=CC#N	nitrile conjugated to a double bond
40	cyanamide	[N;*]-[C;*]#[N;*]	NC#N	cyanamide
41	acyl cyanide	[C;*](=[O;*])-[C;*]#[N;*]	CC(=O)C#N	acyl cyanide
42	sulfonyl cyanide	[S;*](=[O;*])(=[O;*])-[C;*]#[N;*]	CS(=O)(=O)C#N	sulfonyl cyanide
43	acyl hydrazine	[C;*](=[O;*])-[N;*]-[N;*]	CC(=O)NN	acyl hydrazine
44	diazo group	[C;*]=[N;+]=[N;-]	C=[N+]=[N-]	diazo, drawn charge-separated
45	N-nitroso	[N;*]-[N;*]=[O;*]	CN(C)N=O	N-nitrosoamine
46	alkyl halide	[C;*;z1]-[Cl,Br,I;*]	CCCl	chloride, bromide or iodide on an sp3 carbon.  fluorine is left out: a C-F bond is not the leaving group the alert is about
47	2-halopyridine	[F,Cl,Br,I;*]-[C;*;z4]:[N;*;z4]	Clc1ccccn1	halogen alpha to an aromatic nitrogen
48	iodine	[I;*]	CI	any iodine
49	silicon halogen	[Si;*]-[F,Cl,Br,I;*]	C[Si](C)(C)Cl	silicon-halogen bond
50	triflate	[O;*]-[S;*](=[O;*])(=[O;*])-[C;*](-[F;*])(-[F;*])-[F;*]	COS(=O)(=O)C(F)(F)F	triflate ester
51	perfluoroalkyl chain	[C;*](-[F;*])(-[F;*])-[C;*](-[F;*])(-[F;*])-[C;*](-[F;*])(-[F;*])	FC(F)(F)C(F)(F)C(F)(F)F	three consecutive carbons each carrying two or more fluorines
52	stilbene	[C;*;z4]-[C;*]=[C;*]-[C;*;z4]	c1ccc(cc1)C=Cc1ccccc1	two arenes joined by a double bond
53	enamine	[N;*]-[C;*]=[C;*]	C=CN(C)C	nitrogen on a double bond
54	acyclic vinyl ether	[C;*]=;!@[C;*]-;!@[O;*]	C=COC	an enol ether outside a ring; the `!@` is the whole alert, since a ring enol ether is a different matter
55	cyanohydrin	[N;*]#[C;*]-[C;*]-[O;*;H1]	CC(C)(O)C#N	nitrile and hydroxyl on the same carbon
56	adjacent dicarbonyl	[C;*](=[O;*])-[C;*]=[O;*]	CC(=O)C(C)=O	two carbonyls on adjacent carbons
57	anhydride	[C;*](=[O;*])-[O;*]-[C;*]=[O;*]	CC(=O)OC(C)=O	carboxylic anhydride
58	ketene	[C;*]=[C;*]=[O;*]	C=C=O	ketene
59	hydantoin	[N;*;r5]-[C;*;r5](=[O;*])-[N;*;r5]-[C;*;r5]=[O;*]	O=C1CNC(=O)N1	imidazolidine-2,4-dione core
60	quinone	[O;*]=[C;*;r6]-[C;*;r6]=[C;*;r6]-[C;*;r6]=[O;*]	O=C1C=CC(=O)C=C1	cyclohexadienedione.  kekulized by construction: a quinone ring is not aromatic and `thiele()` leaves it alone
61	ortho diaminobenzene	[N;*;H1,H2]-[C;*;z4]:[C;*;z4]-[N;*;H1,H2]	Nc1ccccc1N	two ring amines on adjacent aromatic carbons
62	four-membered lactone	[O;*;r4]-[C;*;r4]=[O;*]	O=C1CCO1	beta-lactone
63	thiirane	[S;*;r3]	C1CS1	three-membered ring sulfur
64	aromatic N-oxide	[O;-]-[N;+;z4]	[O-][n+]1ccccc1	azine N-oxide.  `z4` is what keeps a nitro group out: an aryl nitro nitrogen is not itself aromatic
