# Salt knowledge: which atoms are cations, which may take the charge, which are acidic, and which whole
# components are known species.  Read by chython/chemistry/_tables.py, applied by chython/chemistry/_salts.py.
#
# TWO COLUMNS, TWO QUESTIONS.  `match` is HOW a row is recognized; `klass` is WHAT the row is.  A pass
# selects rows by `klass`, never by `match` -- which is what makes a new class invisible to a pass that
# did not name it.
#
#   match    pattern is   recognized by
#   embed    SMARTS       embedding; the `:1` atom is the one the row is about
#   whole    SMILES       key equality against the WHOLE component
#
# Neither mechanism can express the other's question honestly: `[M;*:1]` would need 186 SMILES rows, and
# tartaric acid every hydrogen count spelled out as SMARTS.
#
#   klass             match   read by
#   metal_cation      embed   split_salts (the cation); decompose_salts, but only when the component IS
#                             that one atom -- a lone [Na+].  All 93 metals `[M]` accepts qualify.
#   charge_acceptor   embed   split_salts (the atom that keeps the electron pair)
#   protic_acid       embed   decompose_salts (the acid_salt tag), fix_salt_charges (the proton source)
#   metal_protic      embed   fix_salt_charges ONLY, and only when every free metal is s-block -- a site a
#                             reducing metal opens and no acid table calls an acid
#   the fourteen species classes  whole   decompose_salts
#
# A SPECIES ROW IS COMPARED BY `format(component, '!s')` -- the canonical SMILES with stereo disabled,
# after `thiele()` on both sides.  Stereo is out because a row names a CONSTITUTION: whether the tartrate
# is L, D or meso does not change that it is the counterion.  `thiele()` is in because the writer writes
# what is stored, so a Kekule toluene and an aromatic one are otherwise two different strings.  NOT
# `standardize()`: that is a repair the caller did not ask for, so a mis-drawn nitric acid needs
# `standardize()` first or a row of its own.
#
# A CONJUGATE IS NOT A ROW.  `decompose_salts` neutralizes before it matches, so `[Cl-]` is `Cl` and
# `CC([O-])=O` is acetic acid by the time the key is taken.  Only a species that cannot be neutral gets
# its own row: `salts:choline` is `quaternary_ammonium` and has nowhere to put the charge.
#
# A SPECIES THAT IS BOTH SOLVENT AND BASE IS TABULATED AS THE BASE.  `salts:pyridine` is `amine_base` and
# not a solvent class: as a solvent class it would read pyridine hydrochloride as hydrochloric acid, while
# as a base that record answers with both components as candidate parents, which a caller can reject.
#
# `charges` IS THE OVERCHARGE GUARD AND ONLY THE `metal_cation` ROW HAS ONE.  A cation cutting k bonds ends
# at charge+k; the row lists every value that is allowed to be, and the whole atom is refused before
# anything is cut -- all-or-nothing, never a partially split molecule.
#
# `order` IS THE ACIDITY RUNG AND ONLY A `protic_acid` OR `metal_protic` ROW HAS ONE.  Low is more acidic;
# rows sharing a value are tied, and a tie is resolved by canonical order and logged rather than by file
# position.  ONE SCALE FOR BOTH CLASSES, because `fix_salt_charges` ranks them in one pool: a carboxylic
# acid beside an alcohol and one sodium gives the carboxylate, rung 4 against rung 6.
#
# WATER AND ALCOHOL ARE NOT ACIDS, THEY ARE WHAT A FREE S-BLOCK METAL REDUCES.  `CCN.CCO` is a mixture and
# `CCO` is no acid site, so `decompose_salts` reads neither as a salt and a hydrate stays droppable;
# `CCO.[Na]` is sodium ethoxide, because sodium does not stand beside a hydroxyl.  That distinction is the
# whole of `metal_protic`.  Beryllium is the one s-block metal outside it, not reducing water.
#
# EVERY AZOLE BUT TETRAZOLE IS ABSENT.  Below sulfonamide's rung an N-H needs a hydride or an
# organolithium, and a metal drawn beside one is reagent chemistry.  An acid with no row refuses, logs, and
# surfaces as a `charges_undrawn` tag -- the count of those refusals is what would justify a row.
#
# There is no `elements` column: `pattern` already names the elements a row applies to, and `keep=['Na']` is
# resolved against the MOLECULE's atoms.
id	match	klass	pattern	charges	order	comment
salts:gluconic	whole	carboxylic_acid	OCC(O)C(O)C(O)C(O)C(O)=O	-	-	gluconic
salts:ascorbic	whole	carboxylic_acid	OCC(O)C1OC(=O)C(O)=C1O	-	-	ascorbic
salts:mandelic	whole	carboxylic_acid	OC(c1ccccc1)C(O)=O	-	-	mandelic
salts:benzoic	whole	aromatic_acid	OC(=O)c1ccccc1	-	-	benzoic
salts:salicylic	whole	aromatic_acid	OC(=O)c1ccccc1O	-	-	salicylic
salts:gentisic	whole	aromatic_acid	OC(=O)c1cc(O)ccc1O	-	-	gentisic
salts:xinafoic	whole	aromatic_acid	OC(=O)c1c(O)ccc2ccccc12	-	-	1-hydroxy-2-naphthoic (xinafoic)
salts:oxynaphthoic	whole	aromatic_acid	OC(=O)c1cc2ccccc2cc1O	-	-	3-hydroxy-2-naphthoic (beta-oxynaphthoic, BON).  Same formula as `salts:xinafoic` and a different constitution, so the key mechanism keeps them apart and both are needed
salts:pamoic	whole	aromatic_acid	OC(=O)c1c(O)c(Cc2c(O)c(C(O)=O)c3ccccc3c2)cc4ccccc14	-	-	pamoic (embonic)
salts:hippuric	whole	carboxylic_acid	OC(=O)CNC(=O)c1ccccc1	-	-	hippuric
salts:nicotinic	whole	carboxylic_acid	OC(=O)c1cccnc1	-	-	nicotinic
salts:orotic	whole	carboxylic_acid	OC(=O)C1=CC(=O)NC(=O)N1	-	-	orotic
salts:pyroglutamic	whole	carboxylic_acid	OC(=O)C1CCC(=O)N1	-	-	pyroglutamic
salts:aspartic	whole	amino_acid	OC(=O)CC(N)C(O)=O	-	-	aspartic
salts:glutamic	whole	amino_acid	OC(=O)CCC(N)C(O)=O	-	-	glutamic
salts:lauric	whole	fatty_acid	CCCCCCCCCCCC(O)=O	-	-	lauric (dodecanoic)
salts:palmitic	whole	fatty_acid	CCCCCCCCCCCCCCCC(O)=O	-	-	palmitic (hexadecanoic)
salts:stearic	whole	fatty_acid	CCCCCCCCCCCCCCCCCC(O)=O	-	-	stearic (octadecanoic)
salts:oleic	whole	fatty_acid	CCCCCCCCC=CCCCCCCCC(O)=O	-	-	oleic
salts:besylic	whole	sulfonic_acid	OS(=O)(=O)c1ccccc1	-	-	benzenesulfonic (besylic)
salts:esylic	whole	sulfonic_acid	CCS(O)(=O)=O	-	-	ethanesulfonic (esylic)
salts:napsylic	whole	sulfonic_acid	OS(=O)(=O)c1ccc2ccccc2c1	-	-	naphthalene-2-sulfonic (napsylic)
salts:camsylic	whole	sulfonic_acid	CC1(C)C2CCC1(CS(O)(=O)=O)C(=O)C2	-	-	camphor-10-sulfonic (camsylic)
salts:isethionic	whole	sulfonic_acid	OCCS(O)(=O)=O	-	-	2-hydroxyethanesulfonic (isethionic)
salts:edisylic	whole	sulfonic_acid	OS(=O)(=O)CCS(O)(=O)=O	-	-	1,2-ethanedisulfonic (edisylic)
salts:cyclamic	whole	sulfonic_acid	OS(=O)(=O)NC1CCCCC1	-	-	cyclohexylsulfamic (cyclamic)
salts:thiocyanic	whole	mineral_acid	SC#N	-	-	thiocyanic
# --- species: the bases --------------------------------------------------------------------------- #
salts:ammonia	whole	amine_base	N	-	-	ammonia, which the cation rows do not reach: `[M]` is 93 metals and nitrogen is not one
salts:diethylamine	whole	amine_base	CCNCC	-	-	diethylamine
salts:triethylamine	whole	amine_base	CCN(CC)CC	-	-	triethylamine
salts:tert-butylamine	whole	amine_base	CC(C)(C)N	-	-	tert-butylamine
salts:cyclohexylamine	whole	amine_base	NC1CCCCC1	-	-	cyclohexylamine
salts:ethylenediamine	whole	amine_base	NCCN	-	-	ethylenediamine
salts:piperazine	whole	amine_base	C1CNCCN1	-	-	piperazine
salts:morpholine	whole	amine_base	C1COCCN1	-	-	morpholine
salts:imidazole	whole	amine_base	c1cnc[nH]1	-	-	imidazole
salts:pyridine	whole	amine_base	c1ccncc1	-	-	pyridine, an amine base: as a solvent class it would read pyridine hydrochloride as hydrochloric acid
salts:guanidine	whole	amine_base	NC(N)=N	-	-	guanidine
salts:hydrazine	whole	amine_base	NN	-	-	hydrazine
salts:ethanolamine	whole	amine_base	OCCN	-	-	ethanolamine (olamine)
salts:diethanolamine	whole	amine_base	OCCNCCO	-	-	diethanolamine
salts:triethanolamine	whole	amine_base	OCCN(CCO)CCO	-	-	triethanolamine
salts:deanol	whole	amine_base	CN(C)CCO	-	-	2-(dimethylamino)ethanol (deanol)
salts:tromethamine	whole	amine_base	OCC(N)(CO)CO	-	-	tromethamine (TRIS)
salts:meglumine	whole	amine_base	CNCC(O)C(O)C(O)C(O)CO	-	-	meglumine, any stereoisomer
salts:choline	whole	quaternary_ammonium	C[N+](C)(C)CCO	-	-	choline, tabulated charged: a quaternary ammonium cannot be neutralized
salts:benzathine	whole	amine_base	C(c1ccccc1)NCCNCc1ccccc1	-	-	benzathine
salts:procaine	whole	amine_base	CCN(CC)CCOC(=O)c1ccc(N)cc1	-	-	procaine
salts:arginine	whole	amino_acid	NC(CCCNC(N)=N)C(O)=O	-	-	arginine, any stereoisomer
salts:lysine	whole	amino_acid	NCCCCC(N)C(O)=O	-	-	lysine, any stereoisomer
# --- species: the solvents ------------------------------------------------------------------------ #
salts:water	whole	water	O	-	-	water of crystallization
salts:methanol	whole	alcohol	CO	-	-	methanol
salts:ethanol	whole	alcohol	CCO	-	-	ethanol
salts:isopropanol	whole	alcohol	CC(C)O	-	-	2-propanol
salts:acetone	whole	aprotic_solvent	CC(C)=O	-	-	acetone
salts:acetonitrile	whole	aprotic_solvent	CC#N	-	-	acetonitrile
salts:dmso	whole	aprotic_solvent	CS(C)=O	-	-	dimethyl sulfoxide
salts:dmf	whole	aprotic_solvent	CN(C)C=O	-	-	N,N-dimethylformamide
salts:thf	whole	aprotic_solvent	C1CCOC1	-	-	tetrahydrofuran
salts:dioxane	whole	aprotic_solvent	C1COCCO1	-	-	1,4-dioxane
salts:ethyl-acetate	whole	aprotic_solvent	CCOC(C)=O	-	-	ethyl acetate
salts:diethyl-ether	whole	aprotic_solvent	CCOCC	-	-	diethyl ether
salts:mtbe	whole	aprotic_solvent	COC(C)(C)C	-	-	methyl tert-butyl ether
salts:dichloromethane	whole	halo_solvent	ClCCl	-	-	dichloromethane
salts:chloroform	whole	halo_solvent	ClC(Cl)Cl	-	-	chloroform
salts:toluene	whole	hydrocarbon	Cc1ccccc1	-	-	toluene
salts:benzene	whole	hydrocarbon	c1ccccc1	-	-	benzene
salts:hexane	whole	hydrocarbon	CCCCCC	-	-	n-hexane
salts:heptane	whole	hydrocarbon	CCCCCCC	-	-	n-heptane
salts:pentane	whole	hydrocarbon	CCCCC	-	-	n-pentane
salts:cyclohexane	whole	hydrocarbon	C1CCCCC1	-	-	cyclohexane
salts:butanol	whole	alcohol	CCCCO	-	-	1-butanol
salts:tert-butanol	whole	alcohol	CC(C)(C)O	-	-	tert-butanol
salts:mek	whole	aprotic_solvent	CCC(C)=O	-	-	2-butanone
salts:nmp	whole	aprotic_solvent	CN1CCCC1=O	-	-	N-methyl-2-pyrrolidone
salts:dma	whole	aprotic_solvent	CC(=O)N(C)C	-	-	N,N-dimethylacetamide
salts:dme	whole	aprotic_solvent	COCCOC	-	-	1,2-dimethoxyethane
salts:dichloroethane	whole	halo_solvent	ClCCCl	-	-	1,2-dichloroethane
salts:anisole	whole	aprotic_solvent	COc1ccccc1	-	-	anisole
