# The isotope table: one row per nuclide chython knows a mass or an abundance for.  MAINTAINED BY
# HAND -- this file is the authority, not a rendering of anything else.  After editing it run
# `python chython/core/test/gen_element_tables.py`, which transposes it into the ISOTOPE_* arrays
# in _elements.pxi; a test fails if the two ever disagree.
#
# Rows are sorted by (z, mass_number) and that order is what the compiled layout is: the flat
# arrays are this file with the columns transposed, and ISOTOPE_OFFSETS/ISOTOPE_COUNTS are where
# each element's run starts and how long it is.  Reordering the file reorders the arrays.
#
# `exact_mass` is in daltons.  `?` says NOBODY HAS A MASS FOR THIS NUCLIDE, which is a different
# claim from 0.0 and is why it is a token and not a number.  Two rows are `?`, both superheavy, and
# both are here only because elements.tsv names them -- tennessine's 297 is not a known nuclide at
# all (293 and 294 are).  They compile to 0.0, so the answer is visibly wrong rather than plausible.
#
# The masses are not all from one evaluation of the nuclear data.  Where two evaluations are
# compared they agree to about 1e-5, so replacing the column wholesale from a single source would
# move real molecular masses: a deliberate decision to take, not a tidy-up to do in passing.
#
# `abundance` is the WEIGHT `element_mass` averages with when an atom states no isotope.  Per
# element the column sums to 1.0 or is all zero -- there is no third case and `compile` refuses one.
# A published column rounded to six decimals need not: silicon's three sum to 1.000001, and the excess
# is taken off the dominant nuclide (28Si, 0.922296) rather than left for the tolerance to absorb.
# It is NOT a filter on membership: a nuclide weighted 0.0 still belongs here if we have its mass,
# because a file may state it and `element_mass` has to answer.
#
# It is NOT the natural terrestrial fraction, though for most elements it is numerically the same
# thing.  55 elements have their whole 1.0 on a single nuclide, and that group mixes two unlike
# cases: elements that really are mononuclidic (Al-27, F-19, P-31) and elements with no meaningful
# terrestrial occurrence at all, where one nuclide is given the whole weight so that the element has
# a mass at all (Tc-99, Pm-145, Rn-222, Po-210, Ts-293).  Reading a 1.0 as "100% of natural
# bromine" is right; reading it as "100% of natural technetium" is not, because there is no natural
# technetium.  That is the conventional choice and it is what makes `float(molecule)` answer for
# those elements -- but the column cannot be described as an abundance without saying so.
#
# `symbol` is redundant with elements.tsv and is here so that a human can find an element's rows by
# grepping for it.  The compile step VERIFIES it against elements.tsv rather than trusting it, so
# there is still exactly one symbol table.

z	symbol	mass_number	exact_mass	abundance
22	Ti	48	47.947947	0.7372
22	Ti	49	48.947871	0.0541
22	Ti	50	49.944792	0.0518
23	V	50	49.947163	0.0025
23	V	51	50.943964	0.9975
24	Cr	50	49.94605	0.04345
24	Cr	51	50.944767	0.0
24	Cr	52	51.940512	0.83789
24	Cr	53	52.940654	0.09501
24	Cr	54	53.938885	0.02365
25	Mn	52	51.945566	0.0
25	Mn	55	54.93805	1.0
26	Fe	54	53.939615	0.05845
26	Fe	55	54.938293	0.0
26	Fe	56	55.934942	0.91754
26	Fe	57	56.935399	0.02119
26	Fe	58	57.933281	0.00282
26	Fe	59	58.934876	0.0
27	Co	55	54.941999	0.0
27	Co	57	56.936291	0.0
27	Co	58	57.935753	0.0
27	Co	59	58.9332	1.0
27	Co	60	59.933817	0.0
28	Ni	58	57.935348	0.680769
28	Ni	59	58.9343467	0.0
28	Ni	60	59.930791	0.262231
28	Ni	61	60.93106	0.011399
28	Ni	62	61.928349	0.036345
28	Ni	63	62.929669	0.0
28	Ni	64	63.92797	0.009256
29	Cu	63	62.929601	0.6917
29	Cu	64	63.929764	0.0
29	Cu	65	64.927794	0.3083
29	Cu	67	66.92773	0.0
30	Zn	62	61.93433	0.0
30	Zn	64	63.929147	0.4863
30	Zn	65	64.929241	0.0
30	Zn	66	65.926037	0.279
30	Zn	67	66.927131	0.041
30	Zn	68	67.924848	0.1875
30	Zn	69	68.92655	0.0
30	Zn	70	69.925325	0.0062
31	Ga	67	66.928202	0.0
31	Ga	68	67.92798	0.0
31	Ga	69	68.925581	0.60108
31	Ga	70	69.926022	0.0
31	Ga	71	70.924705	0.39892
32	Ge	70	69.92425	0.2084
32	Ge	72	71.922076	0.2754
32	Ge	73	72.923459	0.0773
32	Ge	74	73.921178	0.3628
32	Ge	76	75.921403	0.0761
33	As	75	74.921596	1.0
33	As	76	75.922394	0.0
33	As	77	76.920647	0.0
34	Se	73	72.926765	0.0
34	Se	74	73.922477	0.0089
34	Se	75	74.922523	0.0
34	Se	76	75.919214	0.0937
34	Se	77	76.919915	0.0763
34	Se	78	77.91731	0.2377
34	Se	79	78.9184991	0.0
34	Se	80	79.916522	0.4961
34	Se	82	81.9167	0.0873
35	Br	76	75.924541	0.0
35	Br	77	76.921379	0.0
35	Br	79	78.918338	0.5069
35	Br	80	79.9185293	0.0
35	Br	81	80.916291	0.4931
35	Br	82	81.916804	0.0
36	Kr	78	77.920386	0.0035
36	Kr	80	79.916378	0.0228
36	Kr	81	80.916592	0.0
36	Kr	82	81.913485	0.1158
36	Kr	83	82.914136	0.1149
36	Kr	84	83.911507	0.57
36	Kr	86	85.91061	0.173
37	Rb	82	81.918209	0.0
37	Rb	85	84.911789	0.7217
37	Rb	87	86.909183	0.2783
38	Sr	84	83.913425	0.0056
38	Sr	85	84.912933	0.0
38	Sr	86	85.909262	0.0986
38	Sr	87	86.908879	0.07
38	Sr	88	87.905614	0.8258
38	Sr	89	88.907451	0.0
39	Y	86	85.914886	0.0
39	Y	89	88.905848	1.0
39	Y	90	89.907152	0.0
40	Zr	89	88.90889	0.0
40	Zr	90	89.904704	0.5145
40	Zr	91	90.905645	0.1122
40	Zr	92	91.90504	0.1715
40	Zr	94	93.906316	0.1738
40	Zr	96	95.908276	0.028
41	Nb	93	92.906378	1.0
42	Mo	92	91.90681	0.1484
42	Mo	94	93.905088	0.0925
42	Mo	95	94.905841	0.1592
42	Mo	96	95.904679	0.1668
42	Mo	97	96.906021	0.0955
42	Mo	98	97.905408	0.2413
42	Mo	99	98.907712	0.0
42	Mo	100	99.907477	0.0963
43	Tc	98	97.907216	0.0
43	Tc	99	98.906255	1.0
44	Ru	96	95.907598	0.0554
44	Ru	98	97.905287	0.0187
44	Ru	99	98.905939	0.1276
44	Ru	100	99.90422	0.126
44	Ru	101	100.905582	0.1706
44	Ru	102	101.904349	0.3155
44	Ru	104	103.90543	0.1862
44	Ru	106	105.907329	0.0
45	Rh	103	102.905504	1.0
45	Rh	105	104.905694	0.0
46	Pd	102	101.905608	0.0102
46	Pd	103	102.906087	0.0
46	Pd	104	103.904035	0.1114
46	Pd	105	104.905084	0.2233
46	Pd	106	105.903483	0.2733
46	Pd	108	107.903894	0.2646
46	Pd	109	108.90595	0.0
46	Pd	110	109.905152	0.1172
47	Ag	107	106.905093	0.51839
47	Ag	108	107.905956	0.0
47	Ag	109	108.904756	0.48161
47	Ag	110	109.906107	0.0
47	Ag	111	110.905291	0.0
48	Cd	106	105.906458	0.0125
48	Cd	108	107.904183	0.0089
48	Cd	110	109.903006	0.1249
48	Cd	111	110.904182	0.128
48	Cd	112	111.902757	0.2413
48	Cd	113	112.904401	0.1222
48	Cd	114	113.903358	0.2873
48	Cd	116	115.904755	0.0749
49	In	111	110.905103	0.0
49	In	113	112.904061	0.0429
49	In	115	114.903878	0.9571
50	Sn	112	111.904821	0.0097
50	Sn	113	112.905171	0.0
50	Sn	114	113.902782	0.0066
50	Sn	115	114.903346	0.0034
50	Sn	116	115.901744	0.1454
50	Sn	117	116.902954	0.0768
50	Sn	118	117.901606	0.2422
50	Sn	119	118.903309	0.0859
50	Sn	120	119.902197	0.3258
50	Sn	122	121.90344	0.0463
50	Sn	124	123.905275	0.0579
51	Sb	121	120.903818	0.5721
51	Sb	122	121.9051737	0.0
51	Sb	123	122.904216	0.4279
52	Te	120	119.90402	0.0009
52	Te	122	121.903047	0.0255
52	Te	123	122.904273	0.0089
52	Te	124	123.90282	0.0474
52	Te	125	124.904425	0.0707
52	Te	126	125.903306	0.1884
52	Te	128	127.904461	0.3174
52	Te	130	129.906223	0.3408
53	I	123	122.905589	0.0
53	I	124	123.90621	0.0
53	I	125	124.90463	0.0
53	I	127	126.904468	1.0
53	I	129	128.904988	0.0
53	I	131	130.906125	0.0
53	I	135	134.910048	0.0
54	Xe	124	123.905896	0.0009
54	Xe	126	125.904269	0.0009
54	Xe	127	126.905184	0.0
54	Xe	128	127.90353	0.0192
54	Xe	129	128.904779	0.2644
54	Xe	130	129.903508	0.0408
54	Xe	131	130.905082	0.2118
54	Xe	132	131.904155	0.2689
54	Xe	133	132.905911	0.0
54	Xe	134	133.905394	0.1044
54	Xe	136	135.90722	0.0887
55	Cs	131	130.905464	0.0
55	Cs	133	132.905447	1.0
56	Ba	130	129.90631	0.00106
56	Ba	132	131.905056	0.00101
56	Ba	134	133.904503	0.02417
56	Ba	135	134.905683	0.06592
56	Ba	136	135.90457	0.07854
56	Ba	137	136.905821	0.11232
56	Ba	138	137.905241	0.71698
57	La	138	137.907107	0.0009
57	La	139	138.906348	0.9991
58	Ce	136	135.90714	0.00185
58	Ce	138	137.905986	0.00251
58	Ce	140	139.905434	0.8845
58	Ce	142	141.90924	0.11114
59	Pr	141	140.907648	1.0
60	Nd	142	141.907719	0.272
60	Nd	143	142.90981	0.122
60	Nd	144	143.910083	0.238
60	Nd	145	144.912569	0.083
60	Nd	146	145.913112	0.172
60	Nd	148	147.916889	0.057
60	Nd	150	149.920887	0.056
61	Pm	145	144.912749	1.0
62	Sm	144	143.911995	0.0307
62	Sm	145	144.91341	0.0
62	Sm	147	146.914893	0.1499
62	Sm	148	147.914818	0.1124
62	Sm	149	148.91718	0.1382
62	Sm	150	149.917271	0.0738
62	Sm	152	151.919728	0.2675
62	Sm	153	152.922097	0.0
62	Sm	154	153.922205	0.2275
63	Eu	151	150.919846	0.4781
63	Eu	152	151.921744	0.0
63	Eu	153	152.921226	0.5219
64	Gd	152	151.919788	0.002
64	Gd	153	152.92175	0.0
64	Gd	154	153.920862	0.0218
64	Gd	155	154.922619	0.148
64	Gd	156	155.92212	0.2047
64	Gd	157	156.923957	0.1565
64	Gd	158	157.924101	0.2484
64	Gd	160	159.927051	0.2186
65	Tb	159	158.925343	1.0
65	Tb	160	159.927168	0.0
66	Dy	156	155.924278	0.0006
66	Dy	158	157.924405	0.001
66	Dy	160	159.925194	0.0234
66	Dy	161	160.92693	0.1891
66	Dy	162	161.926795	0.2551
66	Dy	163	162.928728	0.249
66	Dy	164	163.929171	0.2818
67	Ho	165	164.930319	1.0
67	Ho	166	165.932284	0.0
68	Er	162	161.928775	0.0014
68	Er	164	163.929197	0.0161
68	Er	166	165.93029	0.3361
68	Er	167	166.932045	0.2293
68	Er	168	167.932368	0.2678
68	Er	170	169.93546	0.1493
69	Tm	169	168.934211	1.0
69	Tm	170	169.935801	0.0
70	Yb	168	167.933894	0.0013
70	Yb	169	168.93519	0.0
70	Yb	170	169.934759	0.0304
70	Yb	171	170.936322	0.1428
70	Yb	172	171.936378	0.2183
70	Yb	173	172.938207	0.1613
70	Yb	174	173.938858	0.3183
70	Yb	176	175.942568	0.1276
71	Lu	175	174.940768	0.9741
71	Lu	176	175.942682	0.0259
71	Lu	177	176.943758	0.0
72	Hf	174	173.94004	0.0016
72	Hf	176	175.941402	0.0526
72	Hf	177	176.94322	0.186
72	Hf	178	177.943698	0.2728
72	Hf	179	178.945815	0.1362
72	Hf	180	179.946549	0.3508
73	Ta	180	179.947466	0.00012
73	Ta	181	180.947996	0.99988
74	W	180	179.946706	0.0012
74	W	182	181.948206	0.265
74	W	183	182.950224	0.1431
74	W	184	183.950933	0.3064
74	W	186	185.954362	0.2843
75	Re	185	184.952956	0.374
75	Re	186	185.954986	0.0
75	Re	187	186.955751	0.626
75	Re	188	187.958114	0.0
76	Os	184	183.952491	0.0002
76	Os	186	185.953838	0.0159
76	Os	187	186.955748	0.0196
76	Os	188	187.955836	0.1324
76	Os	189	188.958145	0.1615
76	Os	190	189.958445	0.2626
76	Os	191	190.96093	0.0
76	Os	192	191.961479	0.4078
77	Ir	191	190.960591	0.373
77	Ir	192	191.962605	0.0
77	Ir	193	192.962924	0.627
78	Pt	190	189.95993	0.00014
78	Pt	192	191.961035	0.00782
78	Pt	194	193.962664	0.32967
78	Pt	195	194.964774	0.33832
78	Pt	196	195.964935	0.25242
78	Pt	198	197.967876	0.07163
79	Au	195	194.965035	0.0
79	Au	197	196.966552	1.0
79	Au	198	197.968244	0.0
80	Hg	196	195.965815	0.0015
80	Hg	197	196.967213	0.0
80	Hg	198	197.966752	0.0997
80	Hg	199	198.968262	0.1687
80	Hg	200	199.968309	0.231
80	Hg	201	200.970285	0.1318
80	Hg	202	201.970626	0.2986
80	Hg	203	202.972873	0.0
80	Hg	204	203.973476	0.0687
81	Tl	203	202.972329	0.29524
81	Tl	204	203.9738635	0.0
81	Tl	205	204.974412	0.70476
82	Pb	204	203.973029	0.014
82	Pb	206	205.974449	0.241
82	Pb	207	206.975881	0.221
82	Pb	208	207.976636	0.524
82	Pb	210	209.984189	0.0
83	Bi	207	206.978471	0.0
83	Bi	209	208.980383	1.0
83	Bi	210	209.98412	0.0
84	Po	209	208.9824304	0.0
84	Po	210	209.982874	1.0
85	At	210	209.987155	1.0
85	At	211	210.987496	0.0
86	Rn	222	222.017578	1.0
87	Fr	223	223.019736	1.0
88	Ra	223	223.018502	0.0
88	Ra	226	226.02541	1.0
88	Ra	228	228.03107	0.0
88	Ra	233	233.048065	0.0
89	Ac	225	225.02323	0.0
89	Ac	227	227.027752	1.0
90	Th	227	227.027704	0.0
90	Th	232	232.03805	1.0
91	Pa	231	231.035879	1.0
91	Pa	233	233.040247	0.0
92	U	234	234.040946	5.5e-05
92	U	235	235.043923	0.0072
92	U	238	238.050783	0.992745
93	Np	237	237.048173	1.0
94	Pu	239	239.052163	1.0
94	Pu	242	242.058743	0.0
94	Pu	244	244.064204	0.0
95	Am	241	241.056829	1.0
95	Am	243	243.06138	0.0
96	Cm	243	243.061389	0.0
96	Cm	244	244.062753	1.0
96	Cm	247	247.070354	0.0
96	Cm	248	248.072349	0.0
97	Bk	247	247.070307	0.0
97	Bk	249	249.074987	1.0
98	Cf	249	249.074854	1.0
98	Cf	251	251.079587	0.0
99	Es	252	252.08298	1.0
100	Fm	257	257.095106	1.0
101	Md	258	258.098431	1.0
102	No	259	259.10103	1.0
103	Lr	260	260.1055	0.0
103	Lr	266	266.11983	1.0
104	Rf	261	261.10877	0.0
104	Rf	267	267.12153	1.0
105	Db	268	268.125676	1.0
105	Db	270	?	0.0
106	Sg	269	269.128634	1.0
107	Bh	270	270.133363	1.0
108	Hs	270	270.134293	0.0
109	Mt	278	278.15481	1.0
110	Ds	281	281.164516	1.0
111	Rg	281	281.16636	0.0
111	Rg	282	282.169127	1.0
112	Cn	285	285.177444	1.0
113	Nh	278	278.17058	0.0
113	Nh	286	286.182555	1.0
114	Fl	289	289.190444	1.0
115	Mc	289	289.0	1.0
116	Lv	293	293.204555	1.0
117	Ts	293	293.0	1.0
117	Ts	297	?	0.0
118	Og	294	294.0	1.0
