# One row per (role, group).  `product` is the whole patch, cap included: `[#0:20]` is the R marker the
# cut leaves behind, and 20 is the map number every row gives it, so the enumerator finds the marker by
# number rather than by scanning.  The site the cap hangs off states `@=`, since a cut takes no
# configuration away with the fragment that leaves and a patch otherwise drops the configuration at its
# own reaction centre.  An empty `example` means "use the group's own example".
id	name	group	product	example	decoys	description
65	alkyl_thiol	thiol	[A@=:1]([#0:20])-[A:2]			sp3 thiol as an S-nucleophile
66	aryl_thiol	aryl_thiol	[A@=:1]([#0:20])-[A:2]			thiophenol as an S-nucleophile
67	alkyl_hydroxyl	primary_alcohol	[A@=:1]([#0:20])-[A:2]			primary alcohol as an O-nucleophile
68	alkyl_hydroxyl	secondary_alcohol	[A@=:1]([#0:20])-[A:2]			secondary alcohol as an O-nucleophile
69	alkyl_hydroxyl	tertiary_alcohol	[A@=:1]([#0:20])-[A:2]			tertiary alcohol as an O-nucleophile
70	aryl_hydroxyl	phenol	[A@=:1]([#0:20])-[A:2]			phenol as an O-nucleophile; the oxygen is kept
71	aryl_hydroxyl	azinone	[A@=:1]([#0:20])-[A:2](-[A:3])=[A:4]			azinone via its hydroxyazine tautomer: C=O becomes C-O, C-N becomes C=N
72	acid_hydroxyl	carboxylic_acid	[A:1](=[A:2])-[A@=:3][#0:20]			carboxylic acid O-H as an esterification nucleophile
73	alkynyl_terminal	terminal_alkyne	[A@=:1]([#0:20])#[A:2]			terminal alkyne C-H as a Sonogashira nucleophile
74	sulfonyl	sulfonyl_chloride	[A@=:1]([#0:20])(=[A:2])=[A:3]			sulfonyl chloride; both S=O are kept
75	sulfonyl	sulfonyl_fluoride	[A@=:1]([#0:20])(=[A:2])=[A:3]			sulfonyl fluoride; both S=O are kept
76	alkyl_deoxy	primary_alcohol	[A@=:2][#0:20]			deoxygenative coupling of a primary alcohol
77	alkyl_deoxy	secondary_alcohol	[A@=:2][#0:20]			deoxygenative coupling of a secondary alcohol
78	alkyl_deoxy	tertiary_alcohol	[A@=:2][#0:20]			deoxygenative coupling of a tertiary alcohol
79	aryl_deoxy	phenol	[A@=:2][#0:20]			deoxygenative coupling of a phenol
80	carbonyl_electrophile	aldehyde	[A@=:2][#0:20]			aldehyde carbon as a reductive amination electrophile
81	carbonyl_electrophile	ketone	[A@=:2][#0:20]			ketone carbon as a reductive amination electrophile
82	alkyl_decarboxy	alkyl_carboxylic_acid	[A@=:3][#0:20]			decarboxylative coupling; the whole COOH leaves
83	aryl_decarboxy	aryl_carboxylic_acid	[A@=:3][#0:20]			decarboxylative coupling; the whole COOH leaves
84	alkenyl_decarboxy	alkenyl_carboxylic_acid	[A@=:3]([#0:20])=[A:4]			decarboxylative coupling; the alkene is kept
85	alkynyl_decarboxy	alkynyl_carboxylic_acid	[A@=:3]([#0:20])#[A:4]			decarboxylative coupling; the alkyne is kept
86	alkyl_deamino	primary_amine	[A@=:2][#0:20]			deaminative coupling via a Katritzky salt
87	aryl_deamino	primary_aniline	[A@=:2][#0:20]			deaminative coupling via a diazonium
