# Functional groups: one named SMARTS per group, read by `chython.reactions._tables`.
# A map number is scoped to its own row: `:3` in two rows of one family need not be the same atom.
#
# `M` LATER IN AN ATOM BODY IS THE DELETION MASK, which is what makes the `lactam_<1-6>_halide` rows
# below possible: an atom named purely as ring context is matched, is not numbered, and is still not
# consumed.  `M` as the FIRST primitive is the metal wildcard -- one letter, two readings, both in
# `docs/substructure.rst`.
#
# COLUMNS
#   name         the chemist's shorthand.  `mol.functional_groups()` reports under it and a
#                `reactions.tsv` slot resolves by it, so it is an API name: do not rename one.
#   smarts       chython SMARTS.  See NUMBERING and DIALECT below.
#   example      a public compound this row MUST match, written AROMATIZED -- a pattern saying
#                `[C;a]:[C;a]` does not match a ring spelled `C1=CC=C...`.
#   decoys       comma-joined SMILES this row must NOT match.  Where a pattern was widened once and
#                went too far, the thing it wrongly caught lives here.  May be empty.
#
# The `example`/`decoys` pair is an acceptance test and not a comment: `test/test_functional.py` runs
# every row against both.  A row with a pattern that can never match is otherwise invisible.
#
# NUMBERING, WHICH THE REACTION TABLES DEPEND ON.  Atoms are numbered LEFT TO RIGHT in the string
# starting at 1, and AN ATOM THE REACTION CONSUMES IS LEFT UNNUMBERED.  A product side deletes by
# absence, so an unnumbered reactant atom -- a halide leaving group, the OH of an acid, the boron of a
# boronic acid -- is gone from every product without any template saying so.  No number is read specially,
# and the renumbering is what keeps a group's numbers inside one slot's stride of 100.
#
# Numbering does NOT affect `mol.functional_groups()`, which matches the whole pattern either way.  It
# decides what a reaction row built on the group can keep, so a row's leaving-group choice is a chemical
# claim and not a spelling.  Numbering an atom is the general choice and leaving it unnumbered the specific
# one: a template that wants an atom gone omits it from its OWN product side, whereas an unnumbered atom is
# gone from every template, including the ones not written yet.
#
# ADDING AN ATOM TO A ROW renumbers nothing as long as it goes on the end -- the reaction rows reference
# `:1`, `:2`, `:101` and so on, and a new highest number is invisible to them -- but it is NOT invisible
# to what they delete.  A product side keeps by restating, so the new atom is matched, unstated and
# therefore deleted by every row using this group.  Numbering `tertiary_amine`'s three substituents makes
# `nitrogen_oxidation` on trimethylamine yield `[NH3+][O-]` instead of the N-oxide unless that row's
# product side restates them; `test_tables.py` refuses a silent one.  Inserting a number in the MIDDLE
# changes what every reaction using the group builds, so do not.
#
# DIALECT.  `smarts` is chython SMARTS, not Daylight: an absent bond matches single ONLY, so an aromatic
# bond has to be written `:`, and `z` is 1-6 with `z3` meaning sp AND NOTHING ELSE (chython 2's `z3`
# saturated and also caught sulfones, nitro groups and allenes -- every ported row had to be re-read for
# it).  A sulfone/sulfonyl/nitro centre is `z5`, but a row already writing both `=[O]` out has stated
# that, so the rows below do not repeat it.  `x` counts heteroatom neighbours, and B, S, Si, Sn and Mg
# all count -- a CF3 carbon bonded to sulfur is `x4`, not `x3`.
id	name	smarts	example	decoys	description
21	ketone	[O;z2;x0:1]=[C;D3;x1;z2:2]	CC(C)=O	CCC=O,CC(=O)OC	R2C=O
22	carboxylic_acid	[O;D1;z1;x0:3][C;z2;x2;D3:1]=[O:2]	CC(=O)O	CC(=O)OC,CC(=O)N	R-COOH; the hydroxyl is the leaving group
23	acyl_chloride	[Cl;D1][C;z2;x2;D3:1]=[O:2]	CC(=O)Cl	CC(=O)O	R-COCl
24	ester	[O;z2;x0:1]=[C;D3;x2;z2:2]-[O;D2;x0]	CC(=O)OC	CC(=O)O	R-CO-OR'; the alkoxy is the leaving group
25	primary_amine	[N;D1;z1;x0:1][C;z1:2]	CCN	Nc1ccccc1,CC(=O)N	R-NH2 on sp3 carbon
26	primary_aniline	[N;D1;z1;x0:1][C;a:2]	Nc1ccccc1	NCc1ccccc1	Ar-NH2
27	secondary_amine	[N;D2;z1;x0:1]([C;z1:2])[C;z1:3]	CNC	CN(C)C,CNc1ccccc1	R2NH, both substituents sp3 carbon
28	secondary_aniline	[N;D2;z1;x0:1]([C;a:2])[C;z1:3]	CNc1ccccc1	CNC,c1ccc(Nc2ccccc2)cc1	Ar-NH-R
29	tertiary_amine	[N;D3;z1;x0:1]([C;z1,a:2])([C;z1,a:3])[C;z1,a:4]	CN(C)C	CNC,c1ccncc1,CN(C)C=O,O=C(OC(C)(C)C)N1CCCCC1,CN(C)C=C	R3N, the N-oxidation substrate.  The three substituents are stated because the bare `[N;D3;z1;x0]` also matched every TERTIARY AMIDE and every carbamate -- an N-Boc amine reported as an amine, and `nitrogen_oxidation` offered to oxidize DMF.  `primary_amine` and `secondary_amine` always stated theirs
30	primary_amide	[N;D1;z1;x0:1][C;z2;x2;D2,D3:2]=[O:3]	NC=O	CC(=O)NC,CCN,NC(=O)N,COC(=O)N	R-CO-NH2.  `D2,D3` because a FORMAMIDE carbonyl is D2, hydrogens not counting toward `D`, and `D3` alone reported formamide as carrying no group at all
31	secondary_amide	[N;D2;z1;x0:1][C;z2;x2;D2,D3:2]=[O:3]	CNC=O	CC(=O)N,CC(=O)N(C)C,CNC(=O)OC	R-CO-NH-R', N-methylformamide included -- see `primary_amide` on `D2,D3`
32	nitrile	[N;D1;z3;x0:1]#[C;D2;x1:2]	CCC#N	CC#CC	R-CN; `z3` here is a genuine sp nitrogen
33	nitro	[N;D3;x2;+:1]([O;-:2])=[O:3]	CC[N+](=O)[O-]	CCN=O	R-NO2, charge-separated as chython stores it
34	isocyanate	[N;z2;x0;D2:1]=[C:2]=[O:3]	CCN=C=O	CCN=C=S	R-N=C=O
35	thiol	[S;x0;D1;z1:1][C;z1:2]	CCS	Sc1ccccc1	R-SH
36	thioether	[S;D2;z1;x0:1]([C:2])[C:3]	CSC	CCS,CS(C)=O	R-S-R'
37	sulfoxide	[S;D3;z2:1](=[O:2])([C:3])[C:4]	CS(C)=O	CS(C)(=O)=O,CSC	R-S(=O)-R'
38	sulfone	[S;D4:1](=[O:2])(=[O:3])([C:4])[C:5]	CS(C)(=O)=O	CS(C)=O	R-SO2-R'
39	epoxide	[O;D2;r3:1]1-[C;r3:2]-[C;r3:3]-1	C1CO1	C1CCO1	oxirane
40	pyridine_n	[N;a;D2;h0:1]	c1ccncc1	c1cc[nH]c1	an aromatic nitrogen with no hydrogen, the N-oxidation substrate
41	arene_ch	[C;a;D2:1]	c1ccccc1	Cc1c(C)c(C)c(C)c(C)c1C	an aromatic CH, the electrophilic-substitution site
42	benzylic_ch	[C;z1;h1,h2;D2,D3:1]-[C;a:2]	CCc1ccccc1	Cc1ccccc1,CC(C)(C)c1ccccc1	an sp3 carbon bearing hydrogen next to a ring.  `D2,D3` excludes a TOLUENE METHYL, which is a D1 -- so `benzylic_bromination` does not reach one
43	aryl_halide	[Cl,Br,I;D1]-[C;a:1]	Brc1ccccc1	Fc1ccccc1	Ar-X, the cross-coupling electrophile; F excluded, it does SNAr instead
44	aryl_bromide_iodide	[Br,I;D1]-[C;a:1]	Brc1ccccc1	Clc1ccccc1	Ar-Br or Ar-I, the halides that couple without a specialist ligand
45	alkyl_halide	[Cl,Br,I;D1][C;z1;x1:1]	CCCBr	CCCF	R-X on sp3 carbon, the SN2 electrophile
46	alkyl_fluoride	[F;D1][C;z1;x1:1]	CCCF	Fc1ccccc1,FC(F)F	R-F on sp3 carbon; not a leaving group, a metabolic-stability flag
47	alkenyl_fluoride	[F;D1][C;z2;x1:1]=[C:2]	FC=C	Fc1ccccc1,CCCF	vinylic C-F
48	alkenyl_chloride	[Cl;D1][C;z2;x1:1]=[C:2]	ClC=C	Clc1ccccc1,CCCCl	vinylic C-Cl, the Heck/Negishi electrophile
49	alkenyl_bromide	[Br;D1][C;z2;x1:1]=[C:2]	BrC=C	Brc1ccccc1,CCCBr	vinylic C-Br
50	alkenyl_iodide	[I;D1][C;z2;x1:1]=[C:2]	IC=C	Ic1ccccc1,CCCI	vinylic C-I
51	alkynyl_fluoride	[F;D1][C;z3;x1:1]#[C:2]	FC#CC	FC=C	C(sp)-F; `z3` is genuine sp here
52	alkynyl_chloride	[Cl;D1][C;z3;x1:1]#[C:2]	ClC#CC	ClC=C	C(sp)-Cl
53	alkynyl_bromide	[Br;D1][C;z3;x1:1]#[C:2]	BrC#CC	BrC=C	C(sp)-Br
54	alkynyl_iodide	[I;D1][C;z3;x1:1]#[C:2]	IC#CC	IC=C	C(sp)-I
55	aryl_triflate	[S;D4](=[O])(=[O])(-[O;D2]-;!@[C;a:1])-[C;D4](-[F])(-[F])-[F]	O=S(=O)(Oc1ccccc1)C(F)(F)F	CS(=O)(=O)Oc1ccccc1	ArOTf, the pseudohalide that couples like an aryl bromide
56	aryl_mesylate	[S;D4](=[O])(=[O])(-[O;D2]-;!@[C;a:1])-[C;D1]	CS(=O)(=O)Oc1ccccc1	O=S(=O)(Oc1ccccc1)C(F)(F)F	ArOMs
57	aryl_tosylate	[S;D4](=[O])(=[O])(-[O;D2]-;!@[C;a:1])-[C;a]:1:[C;a;D2]:[C;a;D2]:[C;a](-[C;D1]):[C;a;D2]:[C;a;D2]:1	Cc1ccc(cc1)S(=O)(=O)Oc1ccccc1	CS(=O)(=O)Oc1ccccc1	ArOTs
58	alkyl_triflate	[S;D4](=[O])(=[O])(-[O;D2]-;!@[C;z1;x1:1])-[C;D4](-[F])(-[F])-[F]	O=S(=O)(OCC)C(F)(F)F	CS(=O)(=O)OCC	ROTf on sp3 carbon, a strong SN2 leaving group
59	alkyl_mesylate	[S;D4](=[O])(=[O])(-[O;D2]-;!@[C;z1;x1:1])-[C;D1]	CS(=O)(=O)OCC	O=S(=O)(OCC)C(F)(F)F	ROMs
60	alkyl_tosylate	[S;D4](=[O])(=[O])(-[O;D2]-;!@[C;z1;x1:1])-[C;a]:1:[C;a;D2]:[C;a;D2]:[C;a](-[C;D1]):[C;a;D2]:[C;a;D2]:1	Cc1ccc(cc1)S(=O)(=O)OCC	CS(=O)(=O)OCC	ROTs
61	alkyl_boronic_ester	[B;D3;z1;x2](-[O;D2;x1])(-[O;D2;x1])-;!@[C;z1;x1:1]	CC1(C)OB(OC1(C)C)CCCC	OB(O)CCCC	RB(OR')2 on sp3 carbon
62	alkenyl_boronic_acid	[B;D3;z1;x2](-[O;D1])(-[O;D1])-;!@[C;z2;x1:1]=[C:2]	OB(O)C=C	OB(O)c1ccccc1	vinylboronic acid
63	alkenyl_boronic_ester	[B;D3;z1;x2](-[O;D2;x1])(-[O;D2;x1])-;!@[C;z2;x1:1]=[C:2]	CC1(C)OB(OC1(C)C)C=C	OB(O)C=C	vinylboronate ester
64	alkynyl_boronic_acid	[B;D3;z1;x2](-[O;D1])(-[O;D1])-;!@[C;z3;x1:1]#[C:2]	OB(O)C#CC	OB(O)C=C	alkynylboronic acid
65	alkynyl_boronic_ester	[B;D3;z1;x2](-[O;D2;x1])(-[O;D2;x1])-;!@[C;z3;x1:1]#[C:2]	CC1(C)OB(OC1(C)C)C#CC	OB(O)C#CC	alkynylboronate ester
66	aryl_molander_salt	[B;D4;z1;x3;-](-[F])(-[F])(-[F])-;!@[C;a:1]	[K+].[B-](F)(F)(F)c1ccccc1	OB(O)c1ccccc1	ArBF3-, the air-stable trifluoroborate
67	alkyl_molander_salt	[B;D4;z1;x3;-](-[F])(-[F])(-[F])-;!@[C;z1:1]	[K+].[B-](F)(F)(F)CCCC	OB(O)CCCC	RBF3- on sp3 carbon
68	alkenyl_molander_salt	[B;D4;z1;x3;-](-[F])(-[F])(-[F])-;!@[C;z2:1]=[C:2]	[K+].[B-](F)(F)(F)C=C	[K+].[B-](F)(F)(F)CCCC	vinyl trifluoroborate
69	alkynyl_molander_salt	[B;D4;z1;x3;-](-[F])(-[F])(-[F])-;!@[C;z3;x1:1]#[C:2]	[K+].[B-](F)(F)(F)C#CC	[K+].[B-](F)(F)(F)C=C	alkynyl trifluoroborate
70	tertiary_alcohol_with_alpha_h	[O;D1;z1;x0:1]-[C;D4;x1;z1:2]-[C;z1;h1,h2:3]	CCC(C)(C)O	CC(C)(C)O	R3C-OH with an eliminable alpha C-H, the dehydration substrate
71	enal	[O;z2;x0:1]=[C;D2;x1;z2:2]-[C;z2;x0:3]=[C;x0:4]	C=CC=O	CCC=O	alpha,beta-unsaturated aldehyde
72	alpha_ketone	[O;z2;x0:1]=[C;D3;x1:2]-[C;z1;D1,D2;x0:3]	CC(=O)CC	O=C(c1ccccc1)c1ccccc1	ketone with an enolizable alpha CH2/CH3
73	alpha_haloketone	[O;z2;x0:1]=[C;D3;x1:2]-[C;z1;D2,D3;x1:3]-[Cl,Br,I;D1]	CC(=O)CBr	CC(=O)CC	alpha-halo ketone, the Hantzsch thiazole electrophile
74	alpha_haloester	[O;D2;x0:1]-[C;D3;x2;z2:2](=[O:3])-[C;z1;D2,D3;x1:4]-[Cl,Br,I;D1]	CCOC(=O)CBr	CCOC(=O)CC	alpha-halo ester
75	1_2_diketone	[O;z2;x0:1]=[C;D3;x1:2]-[C;z2;x1;D3:3]=[O:4]	CC(=O)C(C)=O	CC(=O)CC(C)=O	1,2-diketone
76	1_3_diketone	[O;z2;x0:1]=[C;D3;x1:2]-[C;z1;D2,D3:3]-[C;z2;x1;D3:4]=[O:5]	CC(=O)CC(C)=O	CC(=O)C(C)=O	1,3-diketone
77	1_4_diketone	[O;z2;x0:1]=[C;D3;x1:2]-[C;z1;D2,D3:3]-[C;z1;D2,D3:4]-[C;z2;x1;D3:5]=[O:6]	CC(=O)CCC(C)=O	CC(=O)CC(C)=O	1,4-diketone, the Paal-Knorr substrate
78	beta_ketoester	[O;z2;x0:1]=[C;D3;x1:2]-[C;z1;D2;x0:3]-[C;z2;x2;D3:4](=[O:5])-[O;D2]	CCOC(=O)CC(C)=O	CC(=O)CC(C)=O	beta-keto ester
79	alkyl_carboxylic_acid	[O;D1;z1;x0]-[C;z2;x2;D3:1](=[O:2])-[C;z1:3]	CCC(=O)O	OC(=O)c1ccccc1	R-COOH on sp3 carbon
80	aryl_carboxylic_acid	[O;D1;z1;x0]-[C;z2;x2;D3:1](=[O:2])-[C;a:3]	OC(=O)c1ccccc1	CCC(=O)O	Ar-COOH
81	alkenyl_carboxylic_acid	[O;D1;z1;x0]-[C;z2;x2;D3:1](=[O:2])-[C;z2:3]=[C:4]	C=CC(=O)O	CCC(=O)O	alpha,beta-unsaturated acid
82	alkynyl_carboxylic_acid	[O;D1;z1;x0]-[C;z2;x2;D3:1](=[O:2])-[C;z3;x0:3]#[C:4]	C#CC(=O)O	C=CC(=O)O	propiolic-type acid
83	cyclic_carboxylic_acid	[O;D1;z1;x0]-[C;z2;x2;D3:1](=[O:2])-[C;z1;r5,r6:3]	OC(=O)C1CCCCC1	CCC(=O)O	COOH on a saturated 5- or 6-ring
84	acyl_bromide	[Br;D1]-[C;z2;x2;D3:1]=[O:2]	CC(=O)Br	CC(=O)Cl	R-COBr
85	acyl_fluoride	[F;D1]-[C;z2;x2;D3:1]=[O:2]	CC(=O)F	CC(=O)Cl	R-COF
86	chloroformate	[Cl;D1]-[C;z2;x3;D3:1](=[O:2])-[O;D2:3]	CCOC(=O)Cl	CC(=O)Cl	RO-CO-Cl, the carbamoylation reagent
87	fluoroformate	[F;D1]-[C;z2;x3;D3:1](=[O:2])-[O;D2:3]	CCOC(=O)F	CC(=O)F	RO-CO-F
88	succinimidyl_carbonate	[O;D2:1]-[C;z2;x3;D3:2](=[O:3])-[O;D2;x1]-[N;D3;x1;r5](-[C;z2;r5]=[O])-[C;z2;r5]=[O]	CCOC(=O)ON1C(=O)CCC1=O	CCOC(=O)Oc1ccccc1	NHS/DSC carbonate; numbered like chloroformate so it drops into the same rows
89	aryl_carbonate	[O;D2:1]-[C;z2;x3;D3:2](=[O:3])-[O;D2;x0]-[C;a]	CCOC(=O)Oc1ccccc1	CCOC(=O)OCC	aryl carbonate; the aryloxide is the leaving group
90	imidazolyl_carbonate	[O;D2:1]-[C;z2;x3;D3:2](=[O:3])-[N;a;D3;r5]1:[C;a]:[N;a]:[C;a]:[C;a]:1	CCOC(=O)n1ccnc1	CCOC(=O)OCC	CDI adduct of an alcohol; here the azole nitrogen leaves
91	carbamoyl_chloride	[Cl;D1]-[C;z2;x3;D3:1](=[O:2])-[N;D2,D3:3]	CN(C)C(=O)Cl	CCOC(=O)Cl	R2N-CO-Cl
92	carbamoyl_fluoride	[F;D1]-[C;z2;x3;D3:1](=[O:2])-[N;D2,D3:3]	CN(C)C(=O)F	CCOC(=O)F	R2N-CO-F
93	primary_amidine_amine	[N;D1;z1;x0:1]-[C;z2:2]=[N:3]	NC(C)=N	CC(N)=O	NH2 on an sp2 carbon that also carries C=N
94	aziridine_nh	[N;D2;z1;x0;h1;r3:1]	C1CN1	C1CNC1,CN1CC1	aziridine N-H, matched alone so a ring opening leaves the ring intact
95	biaryl_aniline	[N;D2;z1;x0:1](-[C;a:2])-[C;a:3]	c1ccc(Nc2ccccc2)cc1	CNc1ccccc1	Ar-NH-Ar
96	anhydride	[C;z2;x2;D3:1](=[O:2])-[O;D2;x0]-[C;z2;x2;D3:3]=[O:4]	CC(=O)OC(C)=O	CC(=O)OC	R-CO-O-CO-R; also matches `ester` twice
97	sulfo	[S;D4;x3:1](=[O:2])(=[O:3])-[O;D1:4]	CS(=O)(=O)O	CS(=O)(=O)OC	R-SO3H, distinct from a sulfonyl halide or a sulfonamide
98	sulfonyl_chloride	[Cl;D1]-[S;D4:1](=[O:2])=[O:3]	CS(=O)(=O)Cl	CS(=O)(=O)O	R-SO2Cl
99	sulfonyl_fluoride	[F;D1]-[S;D4:1](=[O:2])=[O:3]	CS(=O)(=O)F	CS(=O)(=O)Cl	R-SO2F
100	sulfonamide	[S;D4;x3:1](=[O:2])(=[O:3])-[N;z1:4]	CS(=O)(=O)N	CS(=O)(=O)O	R-SO2-NR2
101	sulfonyl_anhydride	[S;D4;x3:1](=[O:2])(=[O:3])-[O;D2]-[S;D4;x3](=[O])=[O]	CS(=O)(=O)OS(C)(=O)=O	CS(=O)(=O)OC	R-SO2-O-SO2-R
102	azide	[N;x1;D2:1]=[N;+:2]=[N;-:3]	CCN=[N+]=[N-]	CCN=NCC	R-N3
103	diazo	[C;z2:1]=[N;+;D2:2]=[N;-;D1:3]	CCOC(=O)C=[N+]=[N-]	CCN=[N+]=[N-]	R2C=N2
104	diazonium	[C;a:1]-[N;+;D2:2]#[N;D1:3]	[Cl-].c1ccc([N+]#N)cc1	CCN=[N+]=[N-]	ArN2+
105	azo	[N;D2;x1:1]=[N;D2;x1:2]	c1ccc(N=Nc2ccccc2)cc1	CCN=[N+]=[N-]	R-N=N-R
106	isocyano	[N;+;D2;x0:1]#[C;-;D1:2]	CC[N+]#[C-]	CCC#N	R-NC, charge-separated
107	guanidine	[N;z1;x0:1]-[C;!R:2](-[N;z1;x0:3])=[N;x0:4]	NC(N)=N	NC(N)=O	acyclic guanidine
108	nitroso	[N;D2;z2:1]=[O;D1:2]	CCN=O	CC[N+](=O)[O-]	R-N=O
109	isothiocyanate	[N;z2;x0;D2:1]=[C:2]=[S;D1:3]	CCN=C=S	CCN=C=O	R-N=C=S
110	alkyl_grignard	[Mg;D2](-[F,Cl,Br,I])-[C;z1:1]	CC[Mg]Br	Br[Mg]c1ccccc1	RMgX on sp3 carbon
111	aryl_grignard	[Mg;D2](-[F,Cl,Br,I])-[C;a:1]	Br[Mg]c1ccccc1	CC[Mg]Br	ArMgX
112	alkenyl_grignard	[Mg;D2](-[F,Cl,Br,I])-[C;z2:1]=[C:2]	Br[Mg]C=C	CC[Mg]Br	vinyl Grignard
113	alkyl_zinc	[Zn;D2](-[F,Cl,Br,I])-[C;z1:1]	CC[Zn]Br	Br[Zn]c1ccccc1	RZnX, the Negishi nucleophile
114	aryl_zinc	[Zn;D2](-[F,Cl,Br,I])-[C;a:1]	Br[Zn]c1ccccc1	CC[Zn]Br	ArZnX
115	alkenyl_zinc	[Zn;D2](-[F,Cl,Br,I])-[C;z2:1]=[C:2]	Br[Zn]C=C	CC[Zn]Br	vinylzinc
116	boronate_alkyl_chloride	[Cl;D1]-[C;z1;D2;x2:1]-[B:2]	ClCB(O)O	CCCCl	B-CH2-Cl, the one-carbon SN2 electrophile
117	boronate_alkyl_bromide	[Br;D1]-[C;z1;D2;x2:1]-[B:2]	BrCB(O)O	CCCBr	B-CH2-Br
118	boronate_alkyl_iodide	[I;D1]-[C;z1;D2;x2:1]-[B:2]	ICB(O)O	CCCI	B-CH2-I
119	aryl_stannane	[Sn;D4;z1]-;!@[C;a:1]	C[Sn](C)(C)c1ccccc1	CCCC[Sn](C)(C)C	ArSnR3, the Stille nucleophile
120	alkenyl_stannane	[Sn;D4;z1]-;!@[C;z2:1]=[C:2]	C[Sn](C)(C)C=C	C[Sn](C)(C)c1ccccc1	vinylstannane
121	alkyl_stannane	[Sn;D4;z1]-;!@[C;z1;D2,D3,D4:1]	CCCC[Sn](C)(C)C	C[Sn](C)(C)c1ccccc1	RSnR3 on sp3 carbon, terminal methyls excluded
122	aryl_silane	[Si;D4]-;!@[C;a:1]	C[Si](C)(C)c1ccccc1	C[Si](C)(C)C	ArSiR3, the Hiyama nucleophile
123	alkenyl_silane	[Si;D4]-;!@[C;z2:1]=[C:2]	C[Si](C)(C)C=C	C[Si](C)(C)c1ccccc1	vinylsilane
124	alkynyl_silane	[Si;D4]-;!@[C;z3:1]#[C:2]	C[Si](C)(C)C#C	C[Si](C)(C)C=C	TMS-protected alkyne
125	phosphonium_ylide	[P;D4;z2;x0]=[C:1]	C=P(c1ccccc1)(c1ccccc1)c1ccccc1	CCOP(=O)(OCC)C	R3P=CR2, the Wittig reagent
126	phosphonate	[P;D4;x3](=[O])(-[O;D2;x1])(-[O;D2;x1])-[C:1]	CCOP(=O)(OCC)C	CCOP(=O)(OCC)OCC	(RO)2P(=O)R, the HWE reagent
127	weinreb_amide	[O:1]=[C;D3;x2:2]-[N;D3;x1](-[C;z1])-[O;D2;x1]	CON(C)C(C)=O	CC(=O)N(C)C	N-methoxy-N-methyl amide; the extra C on N excludes an N-acyloxy imide
