# Protecting groups: what to look for, and what the molecule looks like once it is gone.
#
# EVERY ROW IS A SMIRKS ROW, and there is no separate list of atoms to keep or to add: `read_smirks`
# deletes a reactant atom whose map number the product side does not mention, and builds a product atom
# written without a map number.  So a deprotection goes through exactly the code path a reaction goes
# through, and the two cannot disagree about what a pattern means.
#
# COLUMNS
#   name        the chemist's shorthand, `<what it protects>_<the group>`.  `deprotect()` selects by it.
#   protects    hydroxyl | diol | amine | thiol | carbonyl | carboxyl, comma-joined when a row reveals
#               two things at once.  Checked against the kept atoms' elements by test_protective.py, so
#               it is a claim the table verifies rather than a label.
#   smarts      the reactant side: the protected group, with `:1` on the atom being unmasked (and
#               `:2`.. on the others a multi-atom keep needs).
#   product     the patch.  Usually `[A:1]` -- keep that one atom, delete everything else.  A row that
#               keeps several atoms must RESTATE EVERY BOND BETWEEN THEM: a reactant bond whose two
#               endpoints both survive is deleted unless the product side says it again, so `[A:1][A:2]`
#               on a four-atom keep hands back fragments.
#   protected   a worked example this row must match.
#   cleaved     what it must turn `protected` into.  The pair is an acceptance test, not a comment.
#   decoys      SMILES this row must NOT match, comma-joined.  Where a pattern was widened once and
#               went too far, the thing it wrongly caught lives here.
#
# THE EXAMPLES ARE WRITTEN AROMATIZED AND STANDARDIZED, because the queries are: a pattern saying
# `[C;a]:[C;a]` does not match a ring spelled `C1=CC=C...`, and one saying `[N+](=O)[O-]` does not match a
# neutral nitro.  The same fact stated forwards for a caller: `deprotect()` sees an aromatic protecting
# group only after `thiele()` has run, because that is when the molecule acquires the aromatic bonds the
# query asks for.
#
# ORDER IN THIS FILE DOES NOT MATTER.  The loader sorts by reactant atom count descending, so the more
# specific pattern always gets the site first -- `hydroxyl_tbu` matches the tert-butyl half of a Boc and
# would strip it to a carbonate if it got there first -- and a row may be added anywhere.  Two rows of
# equal size fall back to this order.
#
id	name	protects	smarts	product	protected	cleaved	decoys	description
33	hydroxyl_dmab_imine	hydroxyl	[O;D2:1]-;!@[C;D2;x1;z1]-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D3;x1](:[C;D2]:[C;D2]:1)-[N;D2;x0;z2]=[C;x1;D3]([C;D2;x0;z1][C;D3;x0;z1]([C;D1])[C;D1])-[C;D3;r6;x0;z1]1[C;x1;z2;D3](=O)[C;D2][C;D4;x0;z1]([C;D1])([C;D1])[C;D2][C;D3;x1;z2]1=O	[A:1]	c1c(ccc(c1)COC(=O)C)N=C(CC(C)C)C1C(=O)CC(C)(CC1=O)C	C(C)(=O)O		Dmab, as the imine tautomer, revealing an alcohol
34	diol_12_acetone	diol	[O;D2;x0;r5:1]1-;@[C;D4;x2;z1]([C;D1])([C;D1])-[O;D2;x0:2][C:3]-[C:4]1	[A:1][A:4][A:3][A:2]	O1CC(OC1(C)C)C	OC(C)CO		acetonide (isopropylidene acetal), revealing a 1,2-diol
35	diol_13_acetone	diol	[O;D2;x0;r6:1]1-;@[C;D4;x2;z1]([C;D1])([C;D1])-[O;D2;x0:2][C:3][C:4]-[C:5]1	[A:1][A:5][A:4][A:3][A:2]	O1C(OC(CC1)C)(C)C	C(CC(O)C)O		acetonide (isopropylidene acetal), revealing a 1,3-diol
36	hydroxyl_amine_acetone	hydroxyl,amine	[O;D2;x0;r5:1]1-;@[C;D4;x2;z1]([C;D1])([C;D1])-[N;z1:2][C:3]-[C:4]1	[A:1][A:4][A:3][A:2]	N1(C(C)=O)C(C)(OC(C1)C)C	O=C(NCC(O)C)C		acetonide across the amino alcohol, revealing an amino alcohol
37	diol_12_formalin	diol	[O;D2;x0;r5:1]1-;@[C;D2;x2;z1]-[O;D2;x0:2][C:3]-[C:4]1	[A:1][A:4][A:3][A:2]	C1OC(C)CO1	OC(C)CO		methylene acetal, revealing a 1,2-diol
38	diol_13_formalin	diol	[O;D2;x0;r6:1]1-;@[C;D2;x2;z1]-[O;D2;x0:2][C:3][C:4]-[C:5]1	[A:1][A:5][A:4][A:3][A:2]	C1CC(OCO1)C	C(CC(O)C)O		methylene acetal, revealing a 1,3-diol
39	diol_12_cyclopentanone	diol	[O;D2;x0;r5:1]1-;@[C;D4;x2;z1]2([C;D2;x0;z1][C;D2;x0;z1][C;D2;x0;z1][C;D2;x0;z1]2)-[O;D2;x0:2][C:3]-[C:4]1	[A:1][A:4][A:3][A:2]	C1CCC2(OC(CO2)C)C1	OC(C)CO		cyclopentylidene acetal, revealing a 1,2-diol
40	diol_13_cyclopentanone	diol	[O;D2;x0;r6:1]1-;@[C;D4;x2;z1]2([C;D2;x0;z1][C;D2;x0;z1][C;D2;x0;z1][C;D2;x0;z1]2)-[O;D2;x0:2][C:3][C:4]-[C:5]1	[A:1][A:5][A:4][A:3][A:2]	O1C2(OC(CC1)C)CCCC2	C(CC(O)C)O		cyclopentylidene acetal, revealing a 1,3-diol
41	diol_12_cyclohexanone	diol	[O;D2;x0;r5:1]1-;@[C;D4;x2;z1]2([C;D2;x0;z1][C;D2;x0;z1][C;D2;x0;z1][C;D2;x0;z1][C;D2;x0;z1]2)-[O;D2;x0:2][C:3]-[C:4]1	[A:1][A:4][A:3][A:2]	C1C2(CCCC1)OCC(C)O2	OC(C)CO		cyclohexylidene acetal, revealing a 1,2-diol
42	diol_13_cyclohexanone	diol	[O;D2;x0;r6:1]1-;@[C;D4;x2;z1]2([C;D2;x0;z1][C;D2;x0;z1][C;D2;x0;z1][C;D2;x0;z1][C;D2;x0;z1]2)-[O;D2;x0:2][C:3][C:4]-[C:5]1	[A:1][A:5][A:4][A:3][A:2]	C1CCCC2(OCCC(C)O2)C1	C(CC(O)C)O		cyclohexylidene acetal, revealing a 1,3-diol
43	diol_12_diacetal	diol	[O;D2;x0;r6:1]1-;@[C;D4;x2;z1]([O;D2;x0][C;D1])([C;D1])[C;D4;x2;z1]([O;D2;x0][C;D1])([C;D1])-[O;D2;x0:2][C:3]-[C:4]1	[A:1][A:4][A:3][A:2]	O(C)C1(C)OC(C)COC1(OC)C	OC(C)CO		butane-2,3-diacetal (BDA), revealing a 1,2-diol
44	diol_13_diacetal	diol	[O;D2;x0;r7:1]1-;@[C;D4;x2;z1]([O;D2;x0][C;D1])([C;D1])[C;D4;x2;z1]([O;D2;x0][C;D1])([C;D1])-[O;D2;x0:2][C:3][C:4]-[C:5]1	[A:1][A:5][A:4][A:3][A:2]	CC1OC(OC)(C)C(OCC1)(OC)C	C(CC(O)C)O		butane-2,3-diacetal (BDA), revealing a 1,3-diol
45	diol_12_benzylidene	diol	[O;D2;x0;r5:1]1-;@[C;D3;x2;z1]([C;a;r6]:2:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:2)-[O;D2;x0:2][C:3]-[C:4]1	[A:1][A:4][A:3][A:2]	C1(OC(OC1)c1ccccc1)C	OC(C)CO		benzylidene acetal, revealing a 1,2-diol
46	diol_13_benzylidene	diol	[O;D2;x0;r6:1]1-;@[C;D3;x2;z1]([C;a;r6]:2:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:2)-[O;D2;x0:2][C:3][C:4]-[C:5]1	[A:1][A:5][A:4][A:3][A:2]	c1ccccc1C1OCCC(C)O1	C(CC(O)C)O		benzylidene acetal, revealing a 1,3-diol
47	carbonyl_dithiolane	carbonyl	[C;D3,D4;z1;x2;r5:1]1[S;D2;x0;z1][C;D2;x1;z1][C;D2;x1;z1][S;D2;x0;z1]1	[A:1]=O	S1C(SCC1)C	C(C)=O		1,3-dithiolane, revealing a ketone or aldehyde
48	carbonyl_dithiane	carbonyl	[C;D3,D4;z1;x2;r6:1]1[S;D2;x0;z1][C;D2;x1;z1][C;D2;x0;z1][C;D2;x1;z1][S;D2;x0;z1]1	[A:1]=O	C1CSC(SC1)C	C(C)=O		1,3-dithiane, revealing a ketone or aldehyde
49	carbonyl_dimethylsulfide	carbonyl	[C;D3,D4;z1;x2:1](-;!@[S;D2][C;D1])-;!@[S;D2][C;D1]	[A:1]=O	S(C)C(CC)SC	C(CC)=O		bis(methylthio) acetal, revealing a ketone or aldehyde
50	carbonyl_dioxolane	carbonyl	[C;D3,D4;z1;x2;r5:1]1[O;D2;x0][C;D2;x1;z1][C;D2;x1;z1][O;D2;x0]1	[A:1]=O	O1C(OCC1)C	C(C)=O		1,3-dioxolane, revealing a ketone or aldehyde
51	carbonyl_dioxane	carbonyl	[C;D3,D4;z1;x2;r6:1]1[O;D2;x0][C;D2;x1;z1][C;D2;x0;z1][C;D2;x1;z1][O;D2;x0]1	[A:1]=O	C1COC(OC1)C	C(C)=O		1,3-dioxane, revealing a ketone or aldehyde
52	carbonyl_dimethoxy	carbonyl	[C;D3,D4;z1;x2:1](-;!@[O;D2;x0][C;D1])-;!@[O;D2;x0][C;D1]	[A:1]=O	O(C(OC)C)C	C(C)=O		dimethyl acetal, revealing a ketone or aldehyde
53	carboxyl_trioxabicyclooctane	carboxyl	[C;D4;x3;r6:1]12-;@[O;D2][C;D2;x1;z1][C;D4;x0;z1]([C;D1])([C;D2;x1;z1][O;D2]1)[C;D2;x1;z1][O;D2]2	[A:1](=O)O	O1CC2(COC1(C(C)C)OC2)C	C(C(C)C)(=O)O	C1C2(COC(O1)(OC2)C(C)C)CC,CC(C12OCC(C)(C(C)O2)CO1)C	OBO ester (2,6,7-trioxabicyclo[2.2.2]octane), revealing a carboxylic acid
54	amine_methylcarbamate	amine	[N;D2,D3:1]-;!@[C;z2;x3](=O)[O;D2;x0][C;D1]	[A:1]	O(C(=O)Nc1ccccc1)C	c1c(N)cccc1	c1cc(ccc1)NC(=O)OCC	methyl carbamate, revealing an amine
55	amine_ethylcarbamate	amine	[N;D2,D3:1]-;!@[C;z2;x3](=O)[O;D2;x0][C;D2;x1;z1][C;D1]	[A:1]	c1cc(ccc1)NC(=O)OCC	c1c(N)cccc1		ethyl carbamate, revealing an amine
56	amine_alloc	amine	[N;D2,D3:1]-;!@[C;z2;x3](=O)[O;D2;x0]-[C;D2;z1;x1][C;D2;x0;z2]=[C;D1]	[A:1]	C(C=C)OC(Nc1ccccc1)=O	c1c(N)cccc1	c1cc(ccc1)NC(=O)OCC=CC	allyloxycarbonyl, revealing an amine
57	amine_teoc	amine	[N;D2,D3:1]-;!@[C;z2;x3](=O)[O;D2;x0]-[C;D2;z1;x1][C;D2;x1;z1][Si;D4;z1;x0]([C;D1])([C;D1])[C;D1]	[A:1]	c1cccc(NC(=O)OCC[Si](C)(C)C)c1	c1c(N)cccc1		2-(trimethylsilyl)ethoxycarbonyl, revealing an amine
58	amine_sem	amine	[N;D2,D3:1]-;!@[C;D2;x2;z1][O;D2;x0]-[C;D2;z1;x1][C;D2;x1;z1][Si;D4;z1;x0]([C;D1])([C;D1])[C;D1]	[A:1]	N(C)(COCC[Si](C)(C)C)C	CNC		2-(trimethylsilyl)ethoxymethyl, revealing an amine
59	amine_troc	amine	[N;D2,D3:1]-;!@[C;z2;x3](=O)[O;D2;x0]-[C;D2][C;D4;x3]([Cl;D1])([Cl;D1])[Cl;D1]	[A:1]	ClC(Cl)(COC(Nc1ccccc1)=O)Cl	c1c(N)cccc1	ClC(C(OC(Nc1ccccc1)=O)C)(Cl)Cl	2,2,2-trichloroethoxycarbonyl, revealing an amine
60	amine_cbz	amine	[N;D2,D3:1]-;!@[C;z2;x3](=O)-[O;D2;x0][C;D2;x1;z1][C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1	[A:1]	c1ccccc1COC(Nc1ccccc1)=O	c1c(N)cccc1	O(C(=O)Nc1ccccc1)C(C)c1ccccc1	benzyloxycarbonyl (Cbz/Z), revealing an amine
61	amine_chloro_cbz	amine	[N;D2,D3:1]-;!@[C;z2;x3](=O)-[O;D2;x0][C;D2;x1;z1][C;a;r6]:1:[C;D3;x1]([Cl;D1]):[C;D2]:[C;D2]:[C;D2]:[C;D2]:1	[A:1]	c1(c(cccc1)COC(Nc1ccccc1)=O)Cl	c1c(N)cccc1	O(C(=O)Nc1ccccc1)C(C)c1ccccc1	4-chlorobenzyloxycarbonyl, revealing an amine
62	amine_phenylsulfonyl	amine	[N;D2,D3:1]-;!@[S;D4;x3](=O)(=O)-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1	[A:1]	c1ccccc1NS(c1ccccc1)(=O)=O	c1c(N)cccc1		benzenesulfonyl, revealing an amine
63	amine_tosyl	amine	[N;D2,D3:1]-;!@[S;D4;x3](=O)(=O)-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D3;x0]([C;D1]):[C;D2]:[C;D2]:1	[A:1]	c1c(ccc(c1)S(Nc1ccccc1)(=O)=O)C	c1c(N)cccc1		4-toluenesulfonyl (Ts), revealing an amine
64	amine_nosyl	amine	[N;D2,D3:1]-;!@[S;D4;x3](=O)(=O)-[C;a;r6]:1:[C;D3;x1]([N+](=O)[O-]):[C;D2]:[C;D2]:[C;D2]:[C;D2]:1	[A:1]	O=S(=O)(Nc1ccccc1)c1ccccc1[N+]([O-])=O	c1c(N)cccc1		nitrobenzenesulfonyl (Ns), revealing an amine
65	amine_boc	amine	[N;D2,D3:1]-;!@[C;z2;x3](=O)-[O;D2;x0]-[C;D4;x1;z1]([C;D1])([C;D1])[C;D1]	[A:1]	C(OC(C)(C)C)(Nc1ccccc1)=O	c1c(N)cccc1		tert-butoxycarbonyl, revealing an amine
66	amine_tfa	amine	[N;D2,D3:1]-;!@[C;z2;x2](=O)-[C;D4;z1;x3](F)(F)F	[A:1]	FC(C(NC)=O)(F)F	CN		trifluoroacetyl, revealing an amine
